file,flowers,time
23397091.jpg,0,6.202999999979511
23491024.jpg,0,0.625
23806919.jpg,0,0.5779999999795109
24435676.jpg,0,1.297000000020489
25336821.jpg,0,1.827999999979511
25676353.jpg,0,0.5929999999934807
25715391.jpg,0,2.6880000000237487
26689735.jpg,0,1.9839999999967404
26835889.jpg,0,0.5779999999795109
26948661.jpg,0,0.9540000000270084
27327575.jpg,0,0.875
27644666.jpg,0,0.7339999999967404
27785111.jpg,0,0.7189999999827705
27964842.jpg,0,1.625
28052307.jpg,1,1.702999999979511
28073077.jpg,1,0.5929999999934807
28144847.jpg,1,0.7339999999967404
28146160.jpg,1,0.7970000000204891
28255145.jpg,1,0.8910000000032596
28457071.jpg,1,0.8119999999762513
28469446.jpg,1,0.8130000000237487
28505434.jpg,1,0.6410000000032596
28510387.jpg,0,3.0320000000065193
28573584.jpg,1,1.8429999999934807
28573988.jpg,1,1.25
28672959.jpg,1,0.5320000000065193
28690241.jpg,1,0.5470000000204891
28766165.jpg,1,1.077999999979511
29356451.jpg,1,0.9839999999967404
29720904.jpg,0,2.3439999999827705
29852563.jpg,1,0.7179999999934807
29983816.jpg,0,0.8600000000442378
30037856.jpg,0,1.25
32545235.jpg,0,8.46799999999348
32908555.jpg,0,3.312999999965541
33413673.jpg,0,1.312000000034459
33413692.jpg,0,0.625
33753698.jpg,0,0.6879999999655411
34377087.jpg,0,0.7970000000204891
34559819.jpg,0,1.0939999999827705
